article_id,bedroom,bathroom
280551,NaN,NaN
280549,4,NaN
280548,5,NaN
280537,NaN,NaN
280536,NaN,NaN
280535,NaN,NaN
280526,NaN,NaN
280519,NaN,NaN
280517,NaN,NaN
280516,NaN,NaN
280508,2,2
280502,NaN,NaN
280500,NaN,NaN
280497,4,5
280496,2,2
280495,2,2
280481,4,5
280480,2,NaN
280478,NaN,NaN
280475,8,NaN
2851420,NaN,NaN
280472,9,9
280471,7,8
280469,NaN,NaN
280468,NaN,NaN
280467,NaN,NaN
280466,NaN,NaN
280465,NaN,NaN
280464,NaN,NaN
280462,NaN,NaN
280447,1,NaN
280444,NaN,NaN
280441,3,3
280436,NaN,NaN
280435,1,NaN
280433,2,2
280431,2,NaN
280429,2,NaN
280426,NaN,NaN
108280419,NaN,NaN
280416,9,9
285142,5,5
280406,NaN,NaN
280404,NaN,NaN
280402,4,NaN
280399,NaN,NaN
280398,4,NaN
280397,2,NaN
280396,2,3
280395,2,3
280391,NaN,NaN
280389,NaN,NaN
280388,6,NaN
280387,5,10
280386,2,3
280385,2,3
280381,NaN,NaN
280374,2,2
280370,NaN,NaN
280369,4,5
280368,NaN,NaN
280366,NaN,NaN
280365,NaN,NaN
280364,NaN,NaN
280363,NaN,NaN
280361,NaN,NaN
280360,NaN,NaN
280359,NaN,NaN
280358,NaN,NaN
280351,4,2
25823,7,7
280347,2,NaN
280345,3,3
280344,3,3
280343,2,NaN
280342,4,2
280332,3,4
280330,1,NaN
280329,3,3
280323,NaN,NaN
280320,NaN,NaN
2851420,NaN,NaN
280316,NaN,5
280312,NaN,NaN
280310,4,4
280309,NaN,NaN
280308,NaN,NaN
280298,NaN,NaN
280293,1,1
280291,NaN,NaN
280290,NaN,NaN
280289,2,NaN
280285,3,NaN
280282,NaN,NaN
280277,5,6
280276,7,6
280275,2,2
280274,2,2
280272,NaN,NaN
280271,4,5
280269,NaN,NaN
280268,NaN,NaN
280260,NaN,NaN
280258,NaN,NaN
280257,3,NaN
280249,NaN,NaN
280248,3,2
280239,2,2
280234,3,2
280231,1,NaN
280221,NaN,NaN
280211,4,3
25723,2,2
280200,NaN,NaN
280199,3,2
280198,7,NaN
280197,2,NaN
280194,NaN,NaN
280193,4,4
280192,4,NaN
280189,NaN,NaN
280179,NaN,NaN
280176,3,2
280175,7,NaN
280173,NaN,NaN
280172,3,NaN
280171,3,NaN
280170,7,NaN
280169,3,4
280168,3,2
280166,NaN,NaN
280162,6,NaN
280161,3,2
280155,NaN,NaN
280154,NaN,NaN
280153,1,NaN
280152,3,2
280151,2,1
280148,NaN,NaN
280146,NaN,NaN
280144,NaN,NaN
25523,4,NaN
280138,NaN,NaN
280137,NaN,NaN
280134,5,5
280133,NaN,NaN
280132,NaN,NaN
280130,3,NaN
280129,3,2
280128,5,3
280126,4,3
280125,NaN,NaN
280124,NaN,NaN
280122,NaN,NaN
280121,NaN,NaN
280120,NaN,NaN
280118,1,1
280117,NaN,NaN
280113,2,2
280110,2,2
280106,NaN,NaN
280105,NaN,NaN
280104,40,NaN
280103,40,NaN
280102,40,NaN
280101,40,NaN
280100,NaN,NaN
280099,NaN,NaN
280098,NaN,NaN
280097,NaN,NaN
280096,NaN,NaN
280094,7,NaN
280093,2,2
280088,NaN,NaN
280086,NaN,NaN
280083,3,NaN
280081,2,2
280077,2,NaN
280074,NaN,NaN
280069,NaN,NaN
280068,2,2
280061,NaN,NaN
280058,3,2
280050,4,6
280047,NaN,NaN
280045,NaN,NaN
280043,3,NaN
280042,NaN,NaN
280041,NaN,NaN
285142,NaN,NaN
280035,NaN,NaN
280027,3,2
280026,3,2
280017,NaN,NaN
280016,NaN,NaN
280011,NaN,NaN
285142,NaN,NaN
280009,3,1
280007,NaN,NaN
280005,NaN,NaN
280004,NaN,NaN
280003,NaN,NaN
280002,NaN,NaN
280001,3,2
280000,NaN,NaN
279997,NaN,NaN
279991,2,NaN
279988,NaN,NaN
279985,5,6
279979,4,NaN
279978,8,8
279963,6,4
279962,6,4
279960,6,4
279959,6,4
279958,1,1
279957,6,4
279956,6,4
279952,6,4
279950,NaN,NaN
279948,4,4
279947,NaN,NaN
279944,NaN,NaN
279942,NaN,NaN
279941,2,NaN
279939,NaN,NaN
279938,4,NaN
279937,NaN,NaN
279935,1,1
279934,2,2
279933,4,3
279932,3,NaN
279926,4,4
279925,2,2
279924,3,NaN
279923,NaN,NaN
279922,3,2
279921,5,5
279920,NaN,NaN
279919,2,2
279911,NaN,NaN
279910,NaN,NaN
279908,NaN,NaN
279907,NaN,NaN
279906,NaN,NaN
279905,NaN,NaN
279904,NaN,NaN
279903,NaN,NaN
279902,4,3
279901,NaN,NaN
279900,6,NaN
279898,NaN,NaN
279897,6,NaN
279896,6,NaN
279895,NaN,NaN
279894,4,3
279893,NaN,NaN
279890,NaN,NaN
279889,NaN,NaN
279888,NaN,NaN
279887,NaN,NaN
25223,4,5
279885,15,NaN
279884,NaN,NaN
279883,15,NaN
279882,15,NaN
279881,NaN,NaN
279880,NaN,NaN
279879,NaN,NaN
279878,NaN,NaN
279877,NaN,NaN
279875,NaN,NaN
279873,4,5
279872,NaN,NaN
279871,NaN,NaN
279870,NaN,NaN
279869,2,2
285142,NaN,NaN
279867,NaN,NaN
279866,NaN,NaN
279865,2,2
279864,NaN,NaN
279863,NaN,NaN
279856,6,7
279855,3,NaN
279847,NaN,NaN
279844,5,4
279842,NaN,NaN
279835,2,2
279830,4,NaN
279815,NaN,NaN
279813,1,NaN
279811,6,5
279810,3,2
24923,6,7
285142,3,3
279805,4,3
279801,NaN,NaN
279796,NaN,NaN
279794,4,4
279792,1,NaN
279791,NaN,NaN
279789,3,2
279788,3,2
279787,NaN,NaN
279786,NaN,NaN
279778,6,NaN
279777,6,NaN
279776,NaN,NaN
279774,NaN,NaN
279773,NaN,NaN
279772,4,4
279771,2,2
279769,NaN,NaN
279767,NaN,NaN
25023,4,5
279764,NaN,NaN
279763,NaN,NaN
279762,NaN,NaN
279761,NaN,NaN
279760,NaN,NaN
279756,4,4
279755,NaN,NaN
279754,1,1
279753,3,2
279752,3,2
279750,3,NaN
279746,4,3
279745,NaN,NaN
279744,NaN,NaN
279743,NaN,NaN
279742,NaN,NaN
279741,NaN,NaN
279740,1,NaN
279739,5,4
279735,4,3
279730,NaN,NaN
279729,3,NaN
279728,2,NaN
279722,NaN,NaN
279721,5,NaN
279711,3,3
279699,NaN,NaN
279693,NaN,NaN
279690,NaN,NaN
279689,3,2
279688,2,2
279687,2,2
279684,NaN,3
279683,NaN,3
279681,2,NaN
279679,NaN,3
279678,NaN,NaN
279667,3,3
279664,NaN,NaN
279663,4,4
279656,NaN,NaN
279652,3,3
279651,2,1
279649,3,NaN
279648,NaN,NaN
279647,NaN,NaN
279646,3,4
279645,4,4
279644,3,NaN
279643,3,3
279639,1,1
901398186,NaN,NaN
901398186,NaN,NaN
279634,NaN,NaN
279631,NaN,NaN
279630,NaN,NaN
279629,NaN,NaN
279628,NaN,NaN
279625,NaN,NaN
279623,NaN,NaN
279622,6,NaN
279618,NaN,NaN
279617,NaN,NaN
279614,4,4
279612,4,5
279603,NaN,NaN
279602,NaN,NaN
279597,3,2
279595,NaN,NaN
279592,NaN,NaN
279591,3,2
279590,3,2
279589,5,7
279588,NaN,NaN
279587,5,5
279586,NaN,NaN
279585,3,2
279584,3,2
279582,3,4
279577,3,4
279570,30,30
279569,NaN,NaN
279566,24,NaN
279562,3,2
285142,3,2
285142,4,3
279555,3,2
279553,2,2
279552,1,NaN
279547,3,3
279546,NaN,NaN
279545,NaN,NaN
279542,2,3
279541,NaN,NaN
279540,NaN,NaN
279535,6,4
279534,NaN,NaN
279532,NaN,NaN
279529,NaN,NaN
279528,NaN,NaN
279527,NaN,NaN
279526,3,2
279524,NaN,NaN
279523,NaN,NaN
279519,5,4
279518,5,4
279516,3,2
279515,3,3
279513,NaN,NaN
279510,3,NaN
279509,4,1
279508,3,2
279507,4,NaN
279500,3,4
279498,3,NaN
279494,6,NaN
279493,3,NaN
279490,3,2
285142,3,2
24823,4,5
279483,2,2
279479,5,5
279477,4,NaN
279476,2,NaN
279474,2,2
279472,2,2
279471,4,NaN
279470,NaN,NaN
279469,3,3
279468,3,3
279466,NaN,NaN
279461,2,3
279460,3,4
279452,1,NaN
279451,2,1
279449,3,2
2851420,4,4
279447,NaN,NaN
279446,3,2
279445,NaN,NaN
24623,2,2
279441,NaN,NaN
285142,NaN,NaN
279435,2,2
279434,NaN,NaN
279433,4,4
279432,NaN,NaN
279423,NaN,NaN
279422,NaN,NaN
279421,1,1
279418,NaN,NaN
279417,4,3
279413,1,1
285142,2,3
279405,4,5
279403,3,2
279395,5,6
279390,NaN,NaN
279389,NaN,NaN
279381,4,4
279379,NaN,NaN
285142,4,4
279373,NaN,NaN
279372,3,NaN
279371,4,4
279368,6,3
24723,3,NaN
279360,3,3
279358,NaN,NaN
2793520,4,5
279351,NaN,NaN
279348,NaN,NaN
,,
279344,3,3
279341,3,NaN
279334,NaN,NaN
279331,3,2
279330,NaN,NaN
279326,4,3
279323,3,NaN
279313,1,3
279310,4,4
24523,4,4
279291,4,3
279290,4,3
285142,3,2
279282,3,3
279274,2,1
285142,4,3
285142,4,3
279264,2,3
279263,2,NaN
279261,3,3
285142,NaN,NaN
279258,5,4
279256,NaN,NaN
279255,NaN,NaN
279253,2,2
279252,NaN,NaN
279251,NaN,NaN
279249,3,2
279245,2,3
279241,NaN,NaN
279239,4,2
279237,4,6
279236,3,3
279232,4,4
24423,8,NaN
279229,4,4
279228,1,NaN
279226,2,NaN
279225,1,NaN
285142,1,NaN
279219,2,NaN
279218,3,2
279217,3,3
279216,NaN,NaN
279215,3,3
279214,2,2
279213,4,3
279212,NaN,NaN
279211,2,3
279210,NaN,NaN
279204,4,5
279201,4,3
279200,3,2
279199,3,2
279194,10,NaN
279193,10,NaN
279189,NaN,NaN
279184,5,NaN
279180,2,2
279177,NaN,NaN
279176,NaN,NaN
279175,4,3
279169,4,NaN
279168,NaN,NaN
279167,NaN,NaN
279166,NaN,NaN
279165,4,NaN
279163,2,NaN
279159,NaN,NaN
279153,4,3
279152,NaN,NaN
279150,NaN,NaN
279145,NaN,NaN
279137,NaN,NaN
279134,NaN,NaN
279133,NaN,NaN
279132,3,2
279131,3,3
279128,3,3
279124,4,4
279123,NaN,NaN
279122,NaN,NaN
279121,NaN,NaN
279111,2,NaN
279110,NaN,NaN
279107,4,3
279106,5,5
279104,5,5
279103,NaN,NaN
279099,2,2
279098,2,2
279096,2,2
279095,2,2
279093,NaN,NaN
279078,4,NaN
279072,NaN,NaN
279069,NaN,4
279059,4,6
279054,NaN,NaN
279053,4,2
279052,4,5
279051,4,5
279050,3,2
279049,3,3
279048,3,NaN
279046,3,2
279042,3,2
279032,4,4
279031,NaN,NaN
279025,NaN,NaN
279022,NaN,NaN
279018,2,2
279016,NaN,NaN
279015,2,2
279014,NaN,NaN
279013,2,NaN
285142,3,2
279009,4,4
279008,NaN,NaN
279007,1,2
279006,NaN,NaN
279002,3,2
279001,3,3
279000,2,NaN
278999,5,4
278998,NaN,NaN
285142,4,5
278996,2,NaN
278994,NaN,NaN
285142,NaN,NaN
278991,1,1
285142,1,1
278989,1,1
285142,NaN,NaN
278986,1,NaN
278985,4,5
278983,4,4
278982,NaN,NaN
285142,NaN,NaN
278978,4,NaN
2851420,NaN,NaN
278973,3,NaN
278972,2,3
278971,NaN,NaN
278969,4,5
278967,2,3
278961,4,5
278960,5,5
278959,4,3
278958,4,3
285142,3,2
278956,1,NaN
278955,3,3
278954,2,2
285142,5,5
278946,2,2
278945,4,5
278944,4,5
278942,NaN,NaN
278941,NaN,NaN
278940,2,2
278937,4,NaN
278935,3,NaN
285142,2,NaN
278931,4,5
278930,4,NaN
278927,3,2
278925,5,5
278924,3,NaN
278922,4,4
278921,4,4
278919,6,NaN
278918,4,3
278915,4,5
278914,NaN,NaN
278913,NaN,NaN
278910,3,NaN
2851420,NaN,NaN
2851420,NaN,NaN
278900,NaN,NaN
278896,1,2
278893,NaN,3
278891,NaN,NaN
278883,5,4
278880,4,4
278879,NaN,NaN
278878,3,NaN
278877,3,NaN
278871,3,3
278870,7,6
278869,3,2
278868,NaN,NaN
278867,2,3
285142,3,NaN
278859,4,4
278857,4,NaN
278856,NaN,NaN
278855,NaN,NaN
278854,6,7
285142,4,NaN
278851,3,2
285142,3,2
278849,4,NaN
278848,3,2
278832,1,2
278831,NaN,NaN
278828,4,NaN
278826,3,4
278819,3,4
278815,5,3
278807,NaN,NaN
278806,NaN,NaN
2851420,3,2
278801,NaN,NaN
278799,NaN,NaN
278793,6,8
2851420,4,NaN
2787910,NaN,NaN
2851420,NaN,NaN
2851420,NaN,NaN
2851420,NaN,NaN
278782,4,3
278781,4,3
2851420,NaN,NaN
278776,NaN,NaN
2851420,NaN,NaN
285142,5,NaN
278770,1,NaN
278765,3,NaN
278757,2,NaN
285142,NaN,NaN
278753,NaN,NaN
285142,NaN,NaN
278750,4,4
278747,NaN,NaN
278744,NaN,NaN
278742,NaN,NaN
278741,16,NaN
278740,3,2
278738,2,2
278735,NaN,NaN
278733,NaN,NaN
278730,4,3
278729,NaN,NaN
278728,3,3
278727,3,2
278723,NaN,NaN
278720,6,6
285142,5,5
278718,NaN,NaN
278717,3,4
278716,3,3
278714,4,4
278713,3,3
278709,2,NaN
278707,4,NaN
278706,NaN,NaN
278705,NaN,NaN
278700,3,3
278698,NaN,NaN
278697,4,3
278696,4,3
278695,NaN,NaN
278694,2,2
278692,4,NaN
278689,2,2
278687,NaN,NaN
278686,5,3
285142,NaN,NaN
278684,NaN,NaN
285142,NaN,NaN
278673,2,2
278672,2,2
278670,4,4
278668,4,4
278666,5,NaN
285142,NaN,NaN
278657,NaN,NaN
278647,NaN,NaN
278643,3,2
278639,3,4
278633,5,6
278625,2,3
278620,NaN,NaN
278619,2,NaN
278617,NaN,NaN
278615,NaN,NaN
278605,3,4
278604,3,2
278603,1,2
278601,4,NaN
278597,4,3
278594,NaN,NaN
278592,4,3
278591,4,3
278588,NaN,NaN
278586,5,4
278585,3,4
278584,4,3
278574,6,7
278570,1,1
278568,NaN,NaN
278567,5,6
278566,2,NaN
278565,2,NaN
278563,NaN,NaN
278557,4,3
278553,2,2
278552,NaN,NaN
278550,2,2
278548,NaN,NaN
278547,4,NaN
285142,NaN,NaN
278544,3,NaN
285142,NaN,NaN
278535,4,4
278531,1,NaN
278529,4,4
278528,8,NaN
278525,4,4
278519,3,2
278517,4,5
278514,4,3
278513,4,3
,,
278509,NaN,NaN
278506,6,4
278499,NaN,NaN
278498,3,3
278497,5,5
278496,6,5
278495,5,NaN
278490,3,NaN
278488,NaN,NaN
278487,3,4
278484,6,6
278483,3,NaN
278481,5,5
278470,4,5
278468,NaN,NaN
278466,NaN,NaN
285142,NaN,NaN
278462,5,NaN
278461,NaN,NaN
278460,NaN,3
278456,2,2
278452,4,3
278451,2,2
278447,NaN,NaN
278446,NaN,NaN
278444,NaN,NaN
278443,NaN,NaN
278441,NaN,NaN
278434,4,NaN
278432,4,5
278431,NaN,NaN
278429,2,2
278419,NaN,NaN
278410,NaN,NaN
278405,4,5
278397,6,5
278396,6,5
278393,3,NaN
278392,4,3
278386,20,NaN
2851420,NaN,NaN
278380,NaN,NaN
2851420,NaN,NaN
2851420,6,4
278374,2,2
278370,2,2
278369,5,5
278368,NaN,NaN
278367,2,2
278365,4,5
278364,2,2
278363,2,2
278360,3,NaN
278359,NaN,NaN
278358,3,3
278357,4,5
285142,4,4
278348,3,3
278328,NaN,NaN
278327,NaN,NaN
278325,NaN,NaN
278324,NaN,NaN
278321,NaN,NaN
2851420,2,2
278319,2,2
278311,2,NaN
278310,3,2
278309,3,2
278307,NaN,NaN
278300,3,1
278298,NaN,NaN
278297,5,4
278295,3,NaN
278294,3,3
278293,3,3
278291,2,NaN
278289,NaN,NaN
278287,NaN,NaN
278284,5,2
278282,NaN,NaN
278281,2,2
278276,NaN,NaN
2851420,NaN,NaN
278273,NaN,NaN
278271,2,2
278267,1,NaN
278263,NaN,NaN
278262,NaN,NaN
278261,NaN,NaN
278260,3,3
285142,6,5
278248,NaN,NaN
278247,3,3
278241,3,NaN
24223,3,3
278236,4,3
285142,2,1
24323,5,6
278224,3,NaN
278220,3,3
278218,4,4
24123,4,3
278214,NaN,NaN
278211,NaN,NaN
278210,3,NaN
278209,3,2
,,
278199,4,3
278198,3,NaN
278197,3,NaN
285142,NaN,NaN
278195,NaN,NaN
278194,4,4
278193,NaN,NaN
278192,NaN,NaN
278190,NaN,NaN
278186,NaN,NaN
278183,NaN,NaN
278181,NaN,NaN
278180,NaN,NaN
278179,2,2
278175,4,4
278173,NaN,NaN
278171,NaN,NaN
278170,4,3
278167,NaN,NaN
278164,4,4
278159,3,NaN
278153,4,4
278152,2,2
278148,4,4
278147,4,4
278143,4,4
278142,1,NaN
278141,4,3
278136,4,4
278135,3,2
278131,NaN,NaN
278127,5,3
278126,4,5
278124,NaN,NaN
278120,NaN,NaN
278119,NaN,NaN
278118,7,5
278117,NaN,NaN
278115,5,4
285142,NaN,NaN
278109,4,3
285142,NaN,NaN
278106,8,NaN
278104,NaN,NaN
278100,3,2
278097,3,3
278096,NaN,NaN
278095,NaN,NaN
278094,4,5
278092,3,NaN
278091,4,NaN
278087,2,2
278081,3,1
278079,3,3
278077,NaN,NaN
278076,2,3
278073,NaN,NaN
278072,3,2
2851420,3,4
278070,NaN,NaN
278069,NaN,NaN
278068,3,4
278061,4,5
285142,NaN,NaN
278056,3,NaN
278054,NaN,NaN
278053,NaN,NaN
278041,3,4
278040,2,2
,,
278033,4,5
285142,NaN,NaN
278027,NaN,NaN
278023,NaN,NaN
278022,NaN,NaN
278018,4,NaN
2851420,4,NaN
2851420,NaN,NaN
2851420,7,5
278003,3,2
277998,2,2
277993,7,8
277989,NaN,NaN
277987,1,1
277973,1,NaN
277972,2,2
277971,NaN,NaN
277957,3,2
277955,NaN,NaN
277953,NaN,NaN
277948,4,3
277947,3,2
277941,NaN,NaN
277940,NaN,NaN
277939,3,4
277938,5,7
277937,5,7
277936,NaN,NaN
277935,5,6
277927,NaN,NaN
277926,NaN,NaN
2851420,NaN,NaN
285142,5,6
285142,NaN,NaN
277913,NaN,NaN
277905,5,NaN
277904,4,5
277902,4,NaN
277898,NaN,NaN
277894,NaN,NaN
277893,3,NaN
277879,5,2
277876,NaN,NaN
277875,4,4
277874,NaN,NaN
277871,NaN,NaN
277870,2,NaN
277869,NaN,NaN
277867,NaN,NaN
277865,4,4
277864,6,5
277862,4,4
277857,NaN,NaN
277856,2,2
277855,6,7
277854,4,2
277853,2,NaN
277852,4,3
277851,2,2
277850,4,5
2851420,5,6
277848,NaN,NaN
277846,4,NaN
277843,4,3
277842,2,3
23823,3,2
277840,NaN,NaN
277839,2,NaN
277835,NaN,NaN
277833,3,2
277832,NaN,NaN
277830,2,2
277819,2,2
277818,NaN,NaN
2851420,NaN,NaN
277813,4,NaN
277809,NaN,NaN
277808,3,3
277807,NaN,NaN
277806,5,NaN
277805,4,4
277798,NaN,8
277796,2,2
277792,2,3
277791,NaN,4
2851420,NaN,NaN
277785,1,2
277783,3,NaN
277780,5,4
277776,2,1
277775,NaN,NaN
277773,2,2
277772,3,NaN
277768,NaN,8
277767,3,2
277762,4,NaN
277759,3,NaN
277757,4,3
277756,4,3
277754,2,NaN
277753,1,2
277752,1,1
277751,NaN,NaN
277750,5,NaN
277749,NaN,NaN
277747,2,2
277746,4,4
277743,NaN,NaN
277742,NaN,NaN
277741,2,1
277739,2,3
277738,3,4
277737,3,2
277736,4,5
23723,3,2
2777330,NaN,NaN
277732,38,NaN
277731,4,4
277729,3,4
277728,2,NaN
277726,2,1
277722,2,2
2851420,NaN,NaN
277717,4,3
277715,3,NaN
277714,NaN,NaN
277713,2,NaN
277712,2,NaN
277711,NaN,NaN
277710,NaN,NaN
277708,NaN,NaN
2777020,NaN,2
277700,4,4
277698,2,3
277697,3,4
277696,3,2
277695,4,NaN
277694,NaN,NaN
277686,2,2
277685,NaN,NaN
2851420,NaN,NaN
277683,3,2
277680,4,4
277679,4,3
277676,NaN,NaN
277673,3,3
277672,NaN,NaN
277671,NaN,NaN
277670,NaN,NaN
2851420,NaN,NaN
277664,2,2
277661,5,4
277660,3,3
277659,3,3
277658,NaN,NaN
2776570,2,NaN
277655,3,2
277654,4,NaN
277651,2,2
2851420,5,NaN
277648,4,4
277644,3,2
277643,3,2
277642,2,2
277640,2,2
277638,4,NaN
277637,NaN,NaN
277634,NaN,NaN
277633,1,NaN
277632,2,2
277631,2,2
277630,4,4
277629,NaN,NaN
277628,NaN,NaN
277625,NaN,NaN
277623,NaN,NaN
2776220,NaN,NaN
277621,4,3
277620,4,3
277619,2,1
277615,2,2
277614,3,2
277613,NaN,NaN
277609,NaN,NaN
277608,2,2
277601,5,5
277599,3,2
277597,4,5
2851420,NaN,NaN
277593,NaN,NaN
277592,NaN,NaN
2851420,6,NaN
277581,NaN,NaN
277580,2,3
277573,3,2
277571,2,2
277570,2,2
23423,9,NaN
23623,2,3
277567,2,3
277566,2,3
277565,3,2
277562,3,3
277561,NaN,NaN
277560,NaN,NaN
277559,4,5
277558,NaN,NaN
277557,NaN,NaN
277556,NaN,NaN
277552,3,2
277549,NaN,NaN
2775480,NaN,NaN
277545,NaN,NaN
277544,NaN,NaN
277541,2,NaN
277540,2,NaN
277538,2,NaN
277537,1,1
277534,3,NaN
2775320,1,1
277531,3,3
277526,2,2
277521,NaN,NaN
277517,2,2
277516,2,2
277514,NaN,NaN
277513,2,NaN
277512,4,4
277510,3,3
277505,3,2
277499,NaN,NaN
277498,3,1
277494,NaN,NaN
277492,NaN,NaN
277491,NaN,NaN
277489,NaN,NaN
277484,4,NaN
277482,NaN,NaN
277473,3,2
277468,3,2
277466,2,2
277463,4,NaN
277461,2,2
277460,NaN,NaN
277456,NaN,NaN
277455,NaN,NaN
906762807,4,4
277448,5,3
277444,NaN,NaN
277442,NaN,NaN
277441,2,NaN
277440,3,2
277439,3,2
277432,2,2
277426,NaN,NaN
277419,NaN,NaN
277418,NaN,NaN
277417,NaN,NaN
277414,NaN,NaN
277413,NaN,NaN
277412,2,NaN
277410,3,2
277402,12,NaN
2773990,1,NaN
277394,7,5
277391,4,4
277389,5,5
906762807,2,3
277386,3,2
277383,NaN,NaN
277381,4,NaN
277370,3,3
277369,2,2
277368,3,NaN
277363,NaN,NaN
277361,2,NaN
2851420,"['1PN', '2PN', '3PN']",NaN
277355,2,NaN
277353,NaN,NaN
2773520,5,3
277350,3,2
277349,NaN,NaN
277347,2,2
277346,2,NaN
277345,NaN,NaN
277344,NaN,NaN
277341,1,2
277339,5,7
277337,2,2
277336,4,NaN
277331,3,3
277328,2,2
277327,4,NaN
277319,5,NaN
277318,NaN,NaN
277317,3,NaN
277314,2,2
277313,5,NaN
277306,NaN,2
277292,4,5
277291,4,NaN
277287,1,1
277286,NaN,NaN
277284,3,4
277281,3,4
277275,NaN,NaN
277268,NaN,NaN
277262,4,3
277259,NaN,NaN
277254,4,3
277253,4,6
277250,2,2
277242,5,NaN
277239,2,2
277234,3,2
277233,3,2
277232,2,2
277231,4,3
277229,2,2
277228,4,3
277227,NaN,NaN
2851420,NaN,NaN
277219,NaN,NaN
277217,NaN,NaN
277216,3,1
277212,4,2
277210,3,NaN
277207,8,8
277206,3,2
277205,1,1
277204,3,NaN
277203,3,NaN
934874723,NaN,NaN
277198,NaN,NaN
277197,NaN,NaN
277195,2,2
277191,2,2
277187,2,NaN
277186,3,2
277185,6,6
277184,4,NaN
277183,3,3
2851420,NaN,NaN
277181,4,3
277180,NaN,NaN
2851420,NaN,NaN
277172,3,2
277169,2,2
277161,5,6
277160,2,1
277159,2,1
277156,2,2
277155,3,2
277144,NaN,NaN
277142,6,6
277141,NaN,NaN
277139,3,NaN
2851420,NaN,NaN
277137,10,6
277136,10,6
277135,4,3
277133,NaN,NaN
277132,NaN,NaN
277131,2,2
277128,NaN,NaN
277127,3,3
277125,2,2
277124,2,2
277123,2,2
277121,2,NaN
277119,3,NaN
277118,3,NaN
277117,2,NaN
277116,2,2
277115,NaN,NaN
277114,2,2
277113,7,3
277112,4,3
277110,4,4
277109,NaN,NaN
277108,4,NaN
277107,4,4
277106,NaN,NaN
277103,2,2
277102,7,7
277101.0,NaN,NaN
277100,NaN,NaN
277099,4,5
277098,3,NaN
277097,3,NaN
277096,4,2
277095,1,NaN
277094,2,2
277093,2,2
277092,4,5
277091,4,4
277090,6,6
277088,NaN,NaN
277086,NaN,NaN
277082,3,2
277080,NaN,NaN
277078,NaN,NaN
,,
2770740,4,4
2851420,NaN,NaN
2851420,NaN,NaN
277066,NaN,NaN
277065,4,NaN
277061,3,4
277053,2,NaN
277050,NaN,NaN
277049,2,2
934874723,2,2
2770420,NaN,NaN
277040,NaN,NaN
2851420,NaN,NaN
277035,4,NaN
277032,NaN,NaN
277026,NaN,NaN
2851420,NaN,NaN
277018,4,4
277017,NaN,NaN
277016,5,NaN
277015,"['NaN', 1, 2, 3]",['NaN']
277014,NaN,NaN
2770120,NaN,NaN
277009,NaN,NaN
277006,4,3
277005,NaN,NaN
277004,NaN,NaN
277003,NaN,NaN
276998,4,4
276996,3,4
276995,3,2
276994,3,2
276993,3,3
276988,NaN,NaN
276985,NaN,NaN
276983,3,3
276982,4,3
276981,4,3
276975,4,4
276974,NaN,NaN
276973,6,NaN
276967,4,NaN
276966,4,NaN
276963,2,2
276962,NaN,NaN
276960,2,1
276959,2,2
276957,2,2
2851420,6,5
276951,4,NaN
276950,2,2
276949,5,NaN
276948,2,2
276946,3,2
276945,3,2
276944,3,2
2851420,1,1
276938,NaN,NaN
276934,2,NaN
276933,NaN,NaN
276924,4,3
276923,4,3
276913,4,3
276912,1,2
276909,NaN,NaN
276907,NaN,NaN
276905,NaN,NaN
276904,NaN,NaN
276900,4,5
276899,4,4
276898,4,4
276897,2,NaN
276891,5,NaN
276889,6,4
276888,NaN,NaN
276881,NaN,NaN
276880,4,3
276875,NaN,NaN
2851420,NaN,NaN
276872,2,1
2851420,NaN,NaN
276864,4,4
276859,NaN,NaN
276858,NaN,NaN
276856,NaN,NaN
276855,3,2
276851,NaN,NaN
276849,1,3
276847,3,3
276838,2,2
2768370,18,NaN
276835,NaN,NaN
276830,3,2
276829,3,NaN
276828,3,2
276823,NaN,NaN
276816,4,3
276815,NaN,NaN
276812,NaN,NaN
276808,NaN,NaN
276807,2,2
276806,2,NaN
276805,3,5
276800,4,NaN
276799,3,4
276798,3,3
276790,NaN,NaN
276780,NaN,NaN
276777,3,3
276774,NaN,NaN
276773,NaN,NaN
276758,5,NaN
276757,4,4
276755,2,3
276754,NaN,NaN
276753,2,2
276749,3,2
276748,4,4
276743,NaN,NaN
276733,NaN,NaN
276729,2,NaN
276728,NaN,NaN
276726,3,2
276717,5,NaN
276715,6,5
276712,NaN,NaN
276711,4,3
276707,4,3
276706,4,3
276705,2,2
276703,4,3
276701,3,NaN
276698,NaN,NaN
276697,NaN,NaN
276696,NaN,NaN
,,
276692,NaN,NaN
276690,2,NaN
276687,5,4
276686,NaN,NaN
276683,NaN,NaN
276680,NaN,NaN
276679,NaN,NaN
276678,3,3
276677,5,4
276674,2,2
276673,1,1
276672,NaN,NaN
276671,NaN,NaN
276670,3,3
276669,NaN,NaN
276667,NaN,NaN
276665,3,4
276664,3,4
276663,3,2
276661,NaN,NaN
276657,3,4
276655,9,6
276654,3,2
276653,3,2
276652,5,3
276650,2,3
276647,2,NaN
276645,4,3
276641,2,NaN
276635,2,NaN
276634,2,NaN
2766330,NaN,NaN
276630,4,3
276629,4,5
276626,1,2
276623,3,2
2766220,2,NaN
276621,NaN,NaN
276619,3,2
276617,3,2
